Sample_No,image_no,moisture,soil_type,soc,SI,lab_b,CI,median_s,luv_u,mean_r,entropy,xyz_Z
4,142,1.81,1,1.32,1.898723427,28.64314521,0.725068336,121,18.41322505,149.114198,13.89459794,0.104430526
4,143,1.81,1,1.32,1.94440503,29.54423996,0.674189688,121,19.45196136,154.6189214,14.22376804,0.111655879
4,144,1.81,1,1.32,1.938124613,29.02079764,0.667903791,119,19.02196783,153.6031768,14.2168291,0.112114399
5,145,4.12,1,2.2,1.793764552,26.28289775,0.582866175,109,16.95972973,150.2485651,14.29359986,0.118891497
5,146,4.12,1,2.2,1.632716426,23.88247459,0.54094422,104,15.08710729,142.839784,14.31645959,0.114136648
5,147,4.12,1,2.2,1.85292807,28.25565804,0.593602456,117,17.84568451,150.3342235,14.35952676,0.109933734
6,148,2.36,1,1.49,1.629240326,25.9561604,0.595782694,111,16.07178282,145.015904,14.30116183,0.109663932
7,150,25.64,1,6.72,1.290654952,22.11997784,0.482116342,110,16.13569623,132.4382374,14.52182269,0.09332684
7,151,25.64,1,6.72,1.27332806,23.25571704,0.497522814,114,17.11774858,134.1554129,14.66970901,0.091351225
7,152,25.64,1,6.72,1.129590074,19.88403348,0.44668196,99,14.08857142,130.6450694,14.58173575,0.10126108
8,153,22.42,1,1.18,2.108339684,31.63344818,0.859935222,133,20.6574097,148.3475167,13.75656032,0.088469749
8,154,22.42,1,1.18,2.313487995,32.87979933,0.892511987,133,22.00949264,154.9745297,13.87255548,0.095671101
8,155,22.42,1,1.18,2.180953412,30.16329012,0.722312547,124,17.80345967,147.2827846,13.85525333,0.096904737
9,156,23.27,1,3.11,1.516833098,25.64272902,0.585901537,113,17.06120541,143.9930046,14.42570349,0.105843383
9,157,23.27,1,3.11,1.477067534,22.38201193,0.49213868,100,14.85344865,142.5615633,14.47715724,0.119392798
9,158,23.27,1,3.11,1.36123476,20.7700067,0.497543769,97,14.1651201,137.7577129,14.44716014,0.115028104
1,159,3.03,1,1.38,1.923519906,27.67676431,0.578094432,109,16.04185333,154.2984096,14.10470207,0.126497678
1,161,3.03,1,1.38,2.163035273,29.30200907,0.606506792,113,17.23375777,158.2329998,13.98981959,0.127205524
2,162,2.6,1,1.48,2.380456554,31.4521482,0.563620354,115,18.03339909,167.3793248,14.07407327,0.140707952
2,164,2.6,1,1.48,2.294698264,33.39861497,0.486660064,116,19.35977026,177.0750359,14.24225977,0.155695018
3,165,5.03,1,2.12,1.71317914,27.5318751,0.493447542,110,16.28569429,153.931262,14.40861759,0.125423322
3,167,5.03,1,2.12,1.48537349,25.73131108,0.408469965,100,13.68248613,153.4089804,14.55757211,0.138515953
4,169,1.81,1,1.32,2.141876175,29.92573186,0.489582712,107,16.87846855,170.5571987,14.07345629,0.159603815
4,170,1.81,1,1.32,2.055959949,28.03051031,0.602466508,108,15.84143735,158.6512077,13.74279265,0.137159804
5,171,4.12,1,2.2,2.050483233,28.08364406,0.558312351,106,16.97493012,162.8484136,14.06505819,0.145072396
5,172,4.12,1,2.2,2.107289541,29.64955339,0.548734759,110,18.03122698,165.8181401,14.1917556,0.143746086
5,173,4.12,1,2.2,1.858098729,29.30242287,0.452311055,107,16.80742424,165.676419,14.38517929,0.148454332
6,174,2.36,1,1.49,1.770565723,26.57656675,0.534905445,102,14.51191766,157.8702766,13.98345689,0.14488141
6,176,2.36,1,1.49,1.631361552,25.31940066,0.459931259,96,13.88196178,159.46307,14.24734568,0.156764568
7,177,7.26,1,6.72,1.43728208,22.1468777,0.441999773,93,14.05034664,149.8735651,14.35772791,0.14202879
7,178,7.26,1,6.72,1.397493678,23.99204339,0.464857523,103,15.22371389,146.1228675,14.57009774,0.121530335
8,180,3.23,1,1.18,2.347452293,30.21534125,0.690541194,119,17.1291386,152.0955238,13.58435115,0.109182614
8,182,3.23,1,1.18,2.242431599,30.32944545,0.543509556,112,16.81921628,163.3632215,13.88485097,0.137874631
9,184,4.43,1,3.11,1.504277641,24.98421085,0.450955021,100,14.10258502,151.4845344,14.34966843,0.134991951
1,187,0.82,1,1.38,1.485390179,24.42959093,0.542609339,104,13.51370709,139.3576212,14.01856163,0.10803796
2,188,0.74,1,1.48,1.777274017,25.56575005,0.614782499,103,14.1857069,148.5117387,13.88409299,0.12472225
3,190,0.85,1,2.12,1.427024004,24.57430645,0.462667025,103,14.12028854,144.5935706,14.53766986,0.118619837
4,191,0.74,1,1.32,2.011638798,26.96419839,0.645941621,107,16.08254658,154.9829002,13.91059086,0.130859101
4,192,0.74,1,1.32,1.972937679,27.50617209,0.598313201,107,16.34797854,158.5456792,14.03489812,0.137466644
5,194,0.91,1,2.2,1.562563683,24.99122902,0.440135395,96,14.13309883,156.3808992,14.37510324,0.148429375
6,196,0.67,1,1.49,1.600132817,25.09142178,0.501773181,98,13.74603098,152.7063935,14.22408175,0.138957868
6,197,0.67,1,1.49,1.607453035,26.6309209,0.518179571,105,14.72395938,152.7241709,14.25569383,0.130094672
7,198,0.99,1,6.72,1.086588007,19.92562013,0.352712886,90,11.70515229,135.7725008,14.65777237,0.119949418
7,200,0.99,1,6.72,0.969853529,16.87495398,0.312692095,82,9.609506829,124.3194356,14.35035569,0.10818945
8,202,0.76,1,1.18,1.771630441,25.99312184,0.546921335,103,13.83691747,149.5169404,13.90828684,0.126702887
9,205,0.84,1,3.11,1.328522293,23.13925678,0.391439238,93,13.83083977,153.550283,14.67415189,0.149041421
10,206,13.26,2,2.05,1.302367847,22.62738648,0.378448074,93,14.32168508,156.0999283,14.88932414,0.157050655
10,207,13.26,2,2.05,1.328364812,23.43258237,0.363976615,93,15.06138546,163.1478795,14.94238786,0.17237712
10,210,13.26,2,2.05,1.313905103,23.88115305,0.382876595,95,14.88784903,160.8079759,15.00048839,0.163750621
10,212,13.26,2,2.05,1.209725185,22.19053941,0.405281493,91,12.95455125,153.4504544,15.0052021,0.155640746
10,213,13.26,2,2.05,1.245491921,21.48816641,0.3695144,89,13.6269464,156.0948063,14.94489063,0.164380974
11,219,13.35,2,2.29,1.053060573,20.10930094,0.336388267,83,13.41417617,156.8299984,14.96703421,0.173677628
11,222,13.35,2,2.29,1.113921136,21.73640777,0.357989297,89,14.71462893,159.6346261,15.01371551,0.170407115
11,223,13.35,2,2.29,1.094496479,21.13947743,0.32981115,89,13.7791307,152.8904456,14.95388126,0.15577101
11,224,13.35,2,2.29,1.030818032,20.51901442,0.344090432,90,13.55334055,149.0190529,14.94031541,0.147853183
11,227,13.35,2,2.29,1.114927993,22.15630846,0.335638795,90,13.78564871,157.035794,15.00039879,0.163724487
12,231,8.89,2,1.92,1.621444916,26.6896067,0.493462215,103,20.77747017,175.2034837,14.55779253,0.175548597
12,232,8.89,2,1.92,1.76573541,25.53246626,0.563596058,102,20.40575077,167.5001794,14.56865087,0.158609038
12,233,8.89,2,1.92,1.711128217,29.06877043,0.504244113,114,20.1924242,166.1894731,14.81545899,0.14082821
12,236,8.89,2,1.92,1.759900434,28.26123203,0.512133777,110,20.3670685,168.9709622,14.60622703,0.151357859
12,237,8.89,2,1.92,1.868466784,31.16897763,0.484792259,116,21.5111863,175.8468391,14.7639276,0.155226283
12,239,8.89,2,1.92,1.770137505,30.54119037,0.464977859,117,21.00078369,171.824996,14.6978184,0.148010478
12,240,8.89,2,1.92,1.745318473,30.92324779,0.49833432,119,22.01442461,172.0515784,14.88794789,0.144143622
12,241,8.89,2,1.92,1.901115427,31.86385146,0.491765478,116,22.22552489,179.8871971,14.6557833,0.161756693
12,242,8.89,2,1.92,1.968028684,28.89243509,0.540255091,110,21.02569195,171.4870057,14.45732222,0.1538913
12,243,8.89,2,1.92,1.862210032,30.82033268,0.491511695,112,21.466053,177.3977997,14.42418182,0.161370597
