Held_Out_Series,Inner_Fold,Feature,Stage1_N,Stage2_N,Stage3_N,Stage4_N,PC1_Variance,PC2_Variance,PC12_Cumulative
2,1,median_s,32,32,28,8,0.5277974815417809,0.19024471583643648,0.7180421973782174
2,1,mean_r,32,32,28,8,0.5277974815417809,0.19024471583643648,0.7180421973782174
2,1,mean_b,32,32,28,8,0.5277974815417809,0.19024471583643648,0.7180421973782174
2,2,SI,32,32,28,8,0.5417656570698658,0.18482212299978268,0.7265877800696485
2,2,CI,32,32,28,8,0.5417656570698658,0.18482212299978268,0.7265877800696485
2,2,median_s,32,32,28,8,0.5417656570698658,0.18482212299978268,0.7265877800696485
2,2,entropy,32,32,28,8,0.5417656570698658,0.18482212299978268,0.7265877800696485
2,2,lab_b,32,32,28,8,0.5417656570698658,0.18482212299978268,0.7265877800696485
2,2,median_h,32,32,28,8,0.5417656570698658,0.18482212299978268,0.7265877800696485
2,2,mean_b,32,32,28,8,0.5417656570698658,0.18482212299978268,0.7265877800696485
2,2,mean_r,32,32,28,8,0.5417656570698658,0.18482212299978268,0.7265877800696485
2,3,entropy,32,31,26,8,0.549199266961113,0.17437743986627852,0.7235767068273915
2,3,CI,32,31,26,8,0.549199266961113,0.17437743986627852,0.7235767068273915
2,3,SI,32,31,26,8,0.549199266961113,0.17437743986627852,0.7235767068273915
2,3,median_s,32,31,26,8,0.549199266961113,0.17437743986627852,0.7235767068273915
2,3,mean_b,32,31,26,8,0.549199266961113,0.17437743986627852,0.7235767068273915
2,3,lab_b,32,31,26,8,0.549199266961113,0.17437743986627852,0.7235767068273915
2,3,HI,32,31,26,8,0.549199266961113,0.17437743986627852,0.7235767068273915
2,3,mean_v,32,31,26,8,0.549199266961113,0.17437743986627852,0.7235767068273915
2,4,CI,32,32,28,9,0.5225805174725927,0.20478445849648286,0.7273649759690756
2,4,SI,32,32,28,9,0.5225805174725927,0.20478445849648286,0.7273649759690756
2,4,median_s,32,32,28,9,0.5225805174725927,0.20478445849648286,0.7273649759690756
2,4,entropy,32,32,28,9,0.5225805174725927,0.20478445849648286,0.7273649759690756
2,4,lab_b,32,32,28,9,0.5225805174725927,0.20478445849648286,0.7273649759690756
2,4,median_h,32,32,28,9,0.5225805174725927,0.20478445849648286,0.7273649759690756
2,4,luv_u,32,32,28,9,0.5225805174725927,0.20478445849648286,0.7273649759690756
2,4,mean_b,32,32,28,9,0.5225805174725927,0.20478445849648286,0.7273649759690756
2,4,mean_r,32,32,28,9,0.5225805174725927,0.20478445849648286,0.7273649759690756
3,1,median_s,32,32,29,9,0.5284121533010229,0.2000989571870127,0.7285111104880355
3,1,lab_b,32,32,29,9,0.5284121533010229,0.2000989571870127,0.7285111104880355
3,1,SI,32,32,29,9,0.5284121533010229,0.2000989571870127,0.7285111104880355
3,1,CI,32,32,29,9,0.5284121533010229,0.2000989571870127,0.7285111104880355
3,1,entropy,32,32,29,9,0.5284121533010229,0.2000989571870127,0.7285111104880355
