Model,N_Folds,Mean_R2,Mean_RMSE,Mean_MAE,Mean_RPD,Mean_RPIQ,RPD_norm,RPIQ_norm,RMSE_norm,R2_norm,MAE_norm,Composite_Score,Held_Out_Series
WeightedEnsemble_L2,4,-0.11327632273511076,0.907709317905763,0.6539708394308631,0.9824414343926918,1.177377532101691,1.0,1.0,1.0,1.0,1.0,1.0,2
NeuralNetTorch,4,-0.5666268578240246,1.0100292199578456,0.7749635300424061,0.8558647991888794,0.9643057321523325,0.6515390665029028,0.6073781093038423,0.7551479735595662,0.8475786132536595,0.4901813055044627,0.6825586525771619,2
NeuralNetFastAI,4,-0.5738999936902868,1.0307893866116578,0.7316022830137444,0.8401180006996396,0.991919689190909,0.6081886954623406,0.658261633189524,0.7054687931412775,0.8451333057731846,0.6728896512740856,0.6789396887671377,2
CatBoost,4,-0.739697671125852,1.019412112488481,0.7563457737869288,0.8396873314004556,0.9845746052644128,0.6070030783397132,0.6447270371555658,0.732694665806892,0.789390321133065,0.5686296823496177,0.66701180215661,2
LightGBMXT,4,-0.8224105835058808,1.031615139154386,0.7634486763545307,0.831958711506646,0.9769678954624655,0.5857264651756432,0.6307103498927401,0.703492763264681,0.7615813392724394,0.5387006635316963,0.6445526370050471,2
LightGBMLarge,4,-0.8726299979201323,1.0340837004609098,0.7698536980039816,0.8274790998534003,0.9672831429619321,0.5733942550810943,0.6128645071365071,0.697585483975192,0.7446970252722186,0.5117122582070925,0.6307113795587356,2
XGBoost,4,-0.849080062279345,1.0435030630670343,0.7756438965564146,0.8231800396989265,0.967824017443383,0.5615590967821242,0.6138611625436846,0.6750449031533607,0.752614770086288,0.48731449126802323,0.6222778952166811,2
LightGBM,4,-0.9151465667231546,1.0462072633868442,0.7766703502730979,0.8231027780910306,0.9675281272330939,0.5613463983487401,0.613315933311896,0.6685737385516854,0.7304024918481389,0.4829893928579078,0.6172248138804863,2
ExtraTreesMSE,4,-1.7835022352216274,1.172829630227804,0.8046298207942238,0.7092361306500324,0.785820532170076,0.2478756049626952,0.27848805114048675,0.365565794917107,0.4384518599698192,0.3651784681828682,0.3135183359101027,2
RandomForestMSE,4,-3.087599970920909,1.32559396251978,0.8912957785080082,0.6191965967762911,0.6346879750534047,0.0,0.0,0.0,0.0,0.0,0.0,2
WeightedEnsemble_L2,4,-0.08682851620256318,0.8333920823192547,0.5897419377178618,1.0013669078029748,1.0703819135272745,1.0,1.0,1.0,1.0,1.0,1.0,3
NeuralNetFastAI,4,-0.2905374351862545,0.9069225572682761,0.6346775211906284,0.928474646000992,1.0034341456671279,0.7371949187957489,0.8183444099552368,0.7138385692967264,0.8493070735011387,0.6708082600009371,0.7663085119518842,3
CatBoost,4,-0.39233118248569676,0.8991426318752299,0.6448859535405826,0.903975934144302,0.9584387326061707,0.6488674914429342,0.696254180958047,0.7441160098107762,0.7740055218736096,0.5960227259490463,0.6958923337851877,3
LightGBMXT,4,-0.47928381165879347,0.9102613864955771,0.6638044193777591,0.8984071474797716,0.9654195216085654,0.62878983991448,0.7151958034458503,0.7008447167584317,0.7096826330072992,0.4574287163524569,0.6683681689519346,3
NeuralNetTorch,4,-0.39912246779842947,0.9395361186161733,0.6068251215345111,0.8892446735580675,0.9560727809473706,0.5957555418491155,0.6898344248058397,0.5869150946134252,0.7689816934444461,0.8748510073595718,0.6574458691559809,3
LightGBM,4,-0.47841407299595506,0.9230038201032574,0.6658453652399206,0.8811424875997567,0.9361833504763757,0.5665439961230382,0.6358665877390318,0.6512544885660622,0.7103260189967109,0.44247703513046965,0.6161806978970639,3
XGBoost,4,-0.42449706662976594,0.9197929469924007,0.6665640326370031,0.8766001967258078,0.9112549106925742,0.550167262949024,0.5682259391772818,0.6637503692719391,0.7502109269227564,0.4372121792491702,0.6017573486817387,3
LightGBMLarge,4,-0.5167404335702879,0.9450753873128915,0.6818773144018937,0.8626281763701371,0.9143897688024735,0.4997926710048952,0.5767320405434986,0.5653577055662073,0.6819742341764342,0.3250292391448014,0.5507295831845346,3
ExtraTreesMSE,4,-0.8874130292233389,1.0006133858946666,0.6910984148804376,0.7931617647795859,0.806625034828397,0.24933911821740082,0.2843239892852096,0.3492183001893807,0.40777053955882486,0.2574767589799956,0.3022327676180923,3
RandomForestMSE,4,-1.4386432544028354,1.090346608889492,0.726244704989284,0.7240044554943333,0.7018396195981444,0.0,0.0,0.0,0.0,0.0,0.0,3
