Sample_No,image_no,moisture,soil_type,soc,SI,luv_v,median_h,CI,luv_u,mean_r,median_s,entropy,xyz_Z
20,686,5.18,2,2.77,1.526406867,25.43637702,19,0.570812409,14.23693931,132.4157964,101,13.96340627,0.100090789
20,687,5.18,2,2.77,1.641979838,27.76917363,19,0.585252836,15.8769591,134.6902702,110,14.18431074,0.094006902
20,688,5.18,2,2.77,1.600603024,26.78527183,19,0.5779799,14.98782029,137.0113002,103,14.08244205,0.105398609
20,689,5.18,2,2.77,1.613420242,27.43765979,19,0.605627716,15.56247416,135.0241749,108,14.08990165,0.096713932
14,692,27.75,1,2.05,1.271838786,21.02983431,17,0.475255449,13.47098525,142.3259526,79,14.40526805,0.143654961
14,693,27.75,1,2.05,1.271678084,21.67466564,17,0.530697806,15.29999709,145.3941127,83,14.48996506,0.143792776
14,694,27.75,1,2.05,1.36710463,23.50109157,17,0.566792523,17.05797845,145.9784957,91,14.5954644,0.133066084
17,706,29.25,1,1.59,1.812435322,25.32925269,16,0.909114171,19.91458405,147.082111,103,13.93616217,0.120566782
17,707,29.25,1,1.59,0.80054336,14.66906161,19,0.348360093,7.385106394,123.7516741,59,13.82223509,0.132706632
17,708,29.25,1,1.59,0.848874342,14.53500009,21,0.261904351,6.062831311,138.3143734,48,14.02491349,0.185177768
17,709,29.25,1,1.59,0.892785693,15.24936158,20,0.258023859,6.593727994,141.5779456,50,14.20535832,0.191414434
17,710,29.25,1,1.59,0.72413014,14.18106205,17,0.388425399,8.386246348,119.5885882,62,13.66631313,0.118765803
17,711,29.25,1,1.59,0.836779254,18.926327,18,0.399789654,11.3057703,116.5357741,87,13.58817794,0.08854282
18,713,29.5,1,1.27,2.149490737,28.19380578,16,0.908737767,21.68208825,151.4447345,110,13.77058413,0.117678303
18,714,29.5,1,1.27,0.78955177,20.6100031,17,0.544797619,14.23372085,115.0269452,102,13.33034448,0.072920257
18,715,29.5,1,1.27,0.981847253,16.37219801,19,0.382768697,8.289616447,132.6726921,60,13.92635849,0.150277807
18,716,29.5,1,1.27,1.068439195,16.66238024,20,0.323064517,7.718591377,139.3312141,56,14.04310675,0.173198858
18,717,29.5,1,1.27,0.96328643,15.7718084,21,0.28520491,6.764300695,140.7761081,51,14.00077358,0.185822287
18,718,29.5,1,1.27,0.828884825,14.26919471,21,0.297299008,6.252151115,127.1402065,52,13.79737478,0.148659414
19,719,21.72,2,2.51,0.490317748,17.75126353,17,0.234512224,12.63384709,92.17711655,119,13.28854909,0.040887241
19,720,21.72,2,2.51,1.469231156,22.8083571,15,0.81698643,19.06835455,149.6128428,94,14.23752148,0.138744398
19,721,21.72,2,2.51,0.755469467,14.06562086,19,0.306656298,6.826244388,128.2566765,54,14.00990099,0.150349008
19,722,21.72,2,2.51,0.834941406,14.76461628,19,0.319563211,7.164200824,134.4405493,54,14.14820452,0.166195495
19,723,21.72,2,2.51,0.637953717,13.05893266,20,0.251832664,5.83651363,124.114497,50,14.07417859,0.145090423
19,724,21.72,2,2.51,0.772011597,15.11910901,19,0.307696106,7.388696362,130.4821429,57,14.26156898,0.1514036
20,725,27.98,2,2.77,0.422304867,17.56169855,17,0.189997019,12.58136497,87.86306202,124,13.03618983,0.034852932
20,726,27.98,2,2.77,1.616688306,24.76523266,16,0.802702427,20.16071965,151.0123565,100,14.31483549,0.132562408
20,727,27.98,2,2.77,0.85844602,16.47848621,18,0.369603317,9.055794948,128.9174904,66,14.28922737,0.135576817
20,728,27.98,2,2.77,0.96015494,17.82725015,18,0.417980905,9.74380023,133.04261,69,14.22348831,0.140768907
20,729,27.98,2,2.77,0.929398159,17.56507963,19,0.386568891,9.448605724,135.069316,66,14.29421166,0.148950232
20,730,27.98,2,2.77,0.881526973,17.08116572,19,0.370750051,9.285008421,129.4255022,67,14.32560647,0.134279116
20,731,27.98,2,2.77,0.828698877,16.14239066,19,0.339551743,8.482372182,127.0421317,64,14.28811392,0.133393896
