Sample_No,image_no,moisture,soil_type,soc,SI,luv_v,median_h,mean_r,CI,luv_u,median_s,xyz_Z,homogeneity
1,134,19.4,1,1.38,1.83766853,34.82768068,20,142.1470225,0.709954982,19.21811355,134,0.081840515,0.030115556
1,135,19.4,1,1.38,1.948217964,34.88586132,20,152.7097816,0.635820193,18.64730249,120,0.109406175,0.027497209
2,136,19.86,1,1.48,2.071200376,34.93713468,20,151.5737006,0.737041264,19.56225034,123,0.103383709,0.03274847
2,137,19.86,1,1.48,1.634844986,32.05904609,20,139.83524,0.779897387,17.78281239,123,0.088449836,0.034438771
4,142,1.81,1,1.32,1.898723427,33.73483009,20,149.114198,0.725068336,18.41322505,121,0.104430526,0.03264376
4,143,1.81,1,1.32,1.94440503,34.95649601,20,154.6189214,0.674189688,19.45196136,121,0.111655879,0.028513916
4,144,1.81,1,1.32,1.938124613,34.41204161,20,153.6031768,0.667903791,19.02196783,119,0.112114399,0.028660356
5,145,4.12,1,2.2,1.793764552,31.65071162,20,150.2485651,0.582866175,16.95972973,109,0.118891497,0.030082189
5,146,4.12,1,2.2,1.632716426,28.82376815,20,142.839784,0.54094422,15.08710729,104,0.114136648,0.029217905
5,147,4.12,1,2.2,1.85292807,33.57641873,20,150.3342235,0.593602456,17.84568451,117,0.109933734,0.029478713
6,148,2.36,1,1.49,1.629240326,31.05321107,20,145.015904,0.595782694,16.07178282,111,0.109663932,0.028555589
6,149,2.36,1,1.49,1.696340307,32.33253407,20,149.4920679,0.600097101,16.71509495,112,0.11542255,0.029667451
8,153,22.42,1,1.18,2.108339684,36.12996452,20,148.3475167,0.859935222,20.6574097,133,0.088469749,0.033978169
8,154,22.42,1,1.18,2.313487995,37.75750171,20,154.9745297,0.892511987,22.00949264,133,0.095671101,0.033136518
8,155,22.42,1,1.18,2.180953412,35.26287749,21,147.2827846,0.722312547,17.80345967,124,0.096904737,0.03353335
1,159,3.03,1,1.38,1.923519906,33.71981798,21,154.2984096,0.578094432,16.04185333,109,0.126497678,0.029360722
1,160,3.03,1,1.38,2.227587489,35.82952105,21,153.8520408,0.658169563,17.58417007,119,0.11283992,0.031888193
