Sample_No,image_no,moisture,soil_type,soc,SI,lab_b,median_h,CI,mean_r,luv_u,median_s,xyz_Z,entropy
8,153,22.42,1,1.18,2.108339684,31.63344818,20,0.859935222,148.3475167,20.6574097,133,0.088469749,13.75656032
8,154,22.42,1,1.18,2.313487995,32.87979933,20,0.892511987,154.9745297,22.00949264,133,0.095671101,13.87255548
8,155,22.42,1,1.18,2.180953412,30.16329012,21,0.722312547,147.2827846,17.80345967,124,0.096904737,13.85525333
9,156,23.27,1,3.11,1.516833098,25.64272902,19,0.585901537,143.9930046,17.06120541,113,0.105843383,14.42570349
9,157,23.27,1,3.11,1.477067534,22.38201193,19,0.49213868,142.5615633,14.85344865,100,0.119392798,14.47715724
9,158,23.27,1,3.11,1.36123476,20.7700067,19,0.497543769,137.7577129,14.1651201,97,0.115028104,14.44716014
1,159,3.03,1,1.38,1.923519906,27.67676431,21,0.578094432,154.2984096,16.04185333,109,0.126497678,14.10470207
1,160,3.03,1,1.38,2.227587489,30.02487807,21,0.658169563,153.8520408,17.58417007,119,0.11283992,13.91580356
1,161,3.03,1,1.38,2.163035273,29.30200907,21,0.606506792,158.2329998,17.23375777,113,0.127205524,13.98981959
2,162,2.6,1,1.48,2.380456554,31.4521482,21,0.563620354,167.3793248,18.03339909,115,0.140707952,14.07407327
2,163,2.6,1,1.48,2.309365617,29.7078834,21,0.588189884,163.7767658,17.2178968,111,0.140313657,13.83673839
2,164,2.6,1,1.48,2.294698264,33.39861497,21,0.486660064,177.0750359,19.35977026,116,0.155695018,14.24225977
4,168,1.81,1,1.32,1.998639818,28.19493557,21,0.516859536,164.0293766,15.82964131,105,0.151453432,13.98039972
4,169,1.81,1,1.32,2.141876175,29.92573186,21,0.489582712,170.5571987,16.87846855,107,0.159603815,14.07345629
4,170,1.81,1,1.32,2.055959949,28.03051031,21,0.602466508,158.6512077,15.84143735,108,0.137159804,13.74279265
5,171,4.12,1,2.2,2.050483233,28.08364406,21,0.558312351,162.8484136,16.97493012,106,0.145072396,14.06505819
5,172,4.12,1,2.2,2.107289541,29.64955339,21,0.548734759,165.8181401,18.03122698,110,0.143746086,14.1917556
5,173,4.12,1,2.2,1.858098729,29.30242287,21,0.452311055,165.676419,16.80742424,107,0.148454332,14.38517929
6,174,2.36,1,1.49,1.770565723,26.57656675,22,0.534905445,157.8702766,14.51191766,102,0.14488141,13.98345689
6,175,2.36,1,1.49,1.905954879,29.19794939,21,0.465729798,164.8631816,16.02102011,107,0.149008099,14.26250485
6,176,2.36,1,1.49,1.631361552,25.31940066,22,0.459931259,159.46307,13.88196178,96,0.156764568,14.24734568
8,180,3.23,1,1.18,2.347452293,30.21534125,21,0.690541194,152.0955238,17.1291386,119,0.109182614,13.58435115
8,181,3.23,1,1.18,2.234832385,30.07869055,21,0.576519457,160.6244619,16.98502934,113,0.13113013,13.93784069
8,182,3.23,1,1.18,2.242431599,30.32944545,21,0.543509556,163.3632215,16.81921628,112,0.137874631,13.88485097
9,183,4.43,1,3.11,1.608623494,25.20279954,21,0.481403667,152.5990912,14.38002487,101,0.136312878,14.20569127
9,184,4.43,1,3.11,1.504277641,24.98421085,21,0.450955021,151.4845344,14.10258502,100,0.134991951,14.34966843
9,185,4.43,1,3.11,1.53320761,24.75860193,21,0.446734415,150.9735332,13.83376482,99,0.135302089,14.33804697
1,186,0.82,1,1.38,1.749901671,26.10582394,21,0.547639996,154.6326531,14.51060979,102,0.137861654,14.0123758
1,187,0.82,1,1.38,1.485390179,24.42959093,21,0.542609339,139.3576212,13.51370709,104,0.10803796,14.01856163
2,188,0.74,1,1.48,1.777274017,25.56575005,21,0.614782499,148.5117387,14.1857069,103,0.12472225,13.88409299
4,191,0.74,1,1.32,2.011638798,26.96419839,20,0.645941621,154.9829002,16.08254658,107,0.130859101,13.91059086
4,192,0.74,1,1.32,1.972937679,27.50617209,21,0.598313201,158.5456792,16.34797854,107,0.137466644,14.03489812
5,193,0.91,1,2.2,1.487234777,23.4225228,21,0.431881498,150.9848932,13.06825262,93,0.143022467,14.30105477
5,194,0.91,1,2.2,1.562563683,24.99122902,21,0.440135395,156.3808992,14.13309883,96,0.148429375,14.37510324
5,195,0.91,1,2.2,1.513669187,24.34980932,21,0.451075687,153.2808115,13.60094037,95,0.143996325,14.30303887
6,196,0.67,1,1.49,1.600132817,25.09142178,21,0.501773181,152.7063935,13.74603098,98,0.138957868,14.22408175
6,197,0.67,1,1.49,1.607453035,26.6309209,21,0.518179571,152.7241709,14.72395938,105,0.130094672,14.25569383
8,202,0.76,1,1.18,1.771630441,25.99312184,22,0.546921335,149.5169404,13.83691747,103,0.126702887,13.90828684
8,203,0.76,1,1.18,1.945826684,28.24427566,21,0.470892757,163.0755341,15.68645161,105,0.148978174,14.14532551
9,204,0.84,1,3.11,1.337678055,21.45851055,20,0.405440743,144.2889031,12.78487843,91,0.133317857,14.47239021
9,205,0.84,1,3.11,1.328522293,23.13925678,20,0.391439238,153.550283,13.83083977,93,0.149041421,14.67415189
10,206,13.26,2,2.05,1.302367847,22.62738648,20,0.378448074,156.0999283,14.32168508,93,0.157050655,14.88932414
10,207,13.26,2,2.05,1.328364812,23.43258237,20,0.363976615,163.1478795,15.06138546,93,0.17237712,14.94238786
10,208,13.26,2,2.05,1.309646333,23.25300629,20,0.377401568,161.3709144,14.78292861,93,0.168648162,14.95509075
10,209,13.26,2,2.05,1.224433258,23.25013286,20,0.383682394,158.6043128,14.71291035,94,0.160493896,15.03932931
10,210,13.26,2,2.05,1.313905103,23.88115305,20,0.382876595,160.8079759,14.88784903,95,0.163750621,15.00048839
10,211,13.26,2,2.05,1.281995185,23.28868918,20,0.368730007,162.0340202,14.71496445,93,0.17077179,14.97788902
10,212,13.26,2,2.05,1.209725185,22.19053941,20,0.405281493,153.4504544,12.95455125,91,0.155640746,15.0052021
10,213,13.26,2,2.05,1.245491921,21.48816641,20,0.3695144,156.0948063,13.6269464,89,0.164380974,14.94489063
10,216,13.26,2,2.05,1.110866177,20.36247145,19,0.385778919,152.842056,14.57145038,88,0.156344696,14.98228982
10,217,13.26,2,2.05,1.120733638,20.32685821,19,0.375993815,154.6618104,14.68684306,87,0.161562686,14.98757532
11,218,13.35,2,2.29,1.080475361,21.08077934,19,0.340206039,158.005102,13.9884261,86,0.170862168,14.95483733
11,219,13.35,2,2.29,1.053060573,20.10930094,19,0.336388267,156.8299984,13.41417617,83,0.173677628,14.96703421
11,220,13.35,2,2.29,1.157581702,21.55146802,19,0.353086384,158.2009925,14.41714728,89,0.167835935,15.01888232
11,221,13.35,2,2.29,1.155839872,22.03634593,19,0.374875103,160.6058873,14.86430455,90,0.171541312,14.98158219
11,222,13.35,2,2.29,1.113921136,21.73640777,19,0.357989297,159.6346261,14.71462893,89,0.170407115,15.01371551
11,223,13.35,2,2.29,1.094496479,21.13947743,19,0.32981115,152.8904456,13.7791307,89,0.15577101,14.95388126
11,224,13.35,2,2.29,1.030818032,20.51901442,19,0.344090432,149.0190529,13.55334055,90,0.147853183,14.94031541
11,225,13.35,2,2.29,1.129830936,22.46101392,19,0.34989428,159.4474649,14.56042416,91,0.167075246,15.02927265
11,226,13.35,2,2.29,1.077735179,22.01958682,20,0.334559435,157.3766342,13.7207524,89,0.165597344,15.0174734
11,227,13.35,2,2.29,1.114927993,22.15630846,20,0.335638795,157.035794,13.78564871,90,0.163724487,15.00039879
11,228,13.35,2,2.29,1.165061282,22.97844154,20,0.347927612,158.1793886,14.27564763,92,0.161877761,15.01356598
11,229,13.35,2,2.29,1.19595997,22.94984675,20,0.353705535,159.2932677,14.28062804,92,0.165363962,14.99925947
12,230,8.89,2,1.92,1.661030493,27.07027887,18,0.518147914,177.9884606,21.79068355,103,0.179128678,14.52657694
12,231,8.89,2,1.92,1.621444916,26.6896067,18,0.493462215,175.2034837,20.77747017,103,0.175548597,14.55779253
12,232,8.89,2,1.92,1.76573541,25.53246626,18,0.563596058,167.5001794,20.40575077,102,0.158609038,14.56865087
12,233,8.89,2,1.92,1.711128217,29.06877043,19,0.504244113,166.1894731,20.1924242,114,0.14082821,14.81545899
12,234,8.89,2,1.92,1.785482485,29.93471817,19,0.523544737,170.8999522,21.31914974,115,0.147009475,14.66912385
12,235,8.89,2,1.92,1.742063464,29.71308756,19,0.494588983,169.0630381,20.92716879,115,0.143973483,14.76153075
12,236,8.89,2,1.92,1.759900434,28.26123203,19,0.512133777,168.9709622,20.3670685,110,0.151357859,14.60622703
12,237,8.89,2,1.92,1.868466784,31.16897763,19,0.484792259,175.8468391,21.5111863,116,0.155226283,14.7639276
12,238,8.89,2,1.92,1.620422218,29.51835344,19,0.47358965,167.6662946,20.16469991,115,0.143128909,14.89835157
12,239,8.89,2,1.92,1.770137505,30.54119037,19,0.464977859,171.824996,21.00078369,117,0.148010478,14.6978184
12,240,8.89,2,1.92,1.745318473,30.92324779,19,0.49833432,172.0515784,22.01442461,119,0.144143622,14.88794789
12,241,8.89,2,1.92,1.901115427,31.86385146,19,0.491765478,179.8871971,22.22552489,116,0.161756693,14.6557833
12,242,8.89,2,1.92,1.968028684,28.89243509,19,0.540255091,171.4870057,21.02569195,110,0.1538913,14.45732222
12,243,8.89,2,1.92,1.862210032,30.82033268,19,0.491511695,177.3977997,21.466053,112,0.161370597,14.42418182
12,244,8.89,2,1.92,1.643182374,29.39110826,19,0.452973602,183.8625239,20.76794874,105,0.190280091,14.50344334
12,245,8.89,2,1.92,1.864948707,28.78551273,19,0.521048663,172.9827208,20.99746525,109,0.158760757,14.4427299
12,247,8.89,2,1.92,1.606826634,28.04319848,19,0.445196914,166.370456,18.97367503,110,0.149093689,14.79803483
12,248,8.89,2,1.92,1.653169948,29.64962503,20,0.439926527,170.9925263,19.85519968,113,0.152802967,14.78133817
12,249,8.89,2,1.92,1.724018489,30.03417566,20,0.44331006,172.836376,20.08967297,113,0.155738363,14.77016751
12,250,8.89,2,1.92,1.391466164,26.58776066,20,0.412798219,159.2425263,17.23809393,108,0.140401409,14.98115121
12,251,8.89,2,1.92,1.368729428,26.35280113,20,0.400037899,157.2653261,16.8439789,108,0.137117516,14.95183202
10,269,0.0,2,2.05,1.305660439,26.27425452,21,0.801526298,136.5585738,15.36246386,118,0.091381272,13.26880788
10,270,0.0,2,2.05,1.439212893,24.02376852,20,0.730736213,137.4880823,14.25068067,107,0.103151591,13.08105529
11,272,0.0,2,2.29,1.340630666,24.65746105,20,0.554796011,133.9261998,14.63347993,114,0.09232472,13.96560159
11,273,0.0,2,2.29,1.245002186,20.15765693,19,0.481618216,128.2927475,13.17037817,98,0.097352552,14.4739841
