filename,Numeric numbers,mean_r,mean_g,mean_b,median_r,median_g,median_b,mean_h,mean_s,mean_v,median_h,median_s,median_v,mean_gray,median_gray,contrast,energy,homogeneity,entropy,RI,CI,HI,SI,lab_L,lab_a,lab_b,luv_L,luv_u,luv_v,xyz_X,xyz_Y,xyz_Z,image_path,image_no,soc,moisture,soil_type
100.jpg,100,143.4782964,126.6409638,91.53675064,144.0,127.0,92,20.24164939,104.0108219,143.4782964,20,92,144.0,0.500736797,0.504021176,2355.142937,0.006919558,0.026369632,14.59769638,1.84246081,0.392550808,1.96912629,1.20900723,53.74363596,1.005805465,21.48224242,53.74363596,12.7606842,26.64406541,0.20865562,0.217340062,0.131124743,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/100.jpg,100,6.72,5.68,1
125.jpg,125,145.5165617,126.0551658,86.58914621,147.0,127.0,87,20.04617746,115.1855469,145.5165617,20,103,147.0,0.49939299,0.502562745,2085.757527,0.007104002,0.028634109,14.52127691,1.725176014,0.449366704,1.993299958,1.411144848,53.69109225,1.591170345,24.24345798,53.69109225,14.86019389,29.48460542,0.209401302,0.216849211,0.120091048,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/125.jpg,125,6.72,1.03,1
126.jpg,126,139.8386679,122.0569595,86.11810427,141.0,123.0,87,20.00462372,109.9255022,139.8386679,20,98,141.0,0.483311298,0.486653333,2127.348495,0.007158459,0.028821339,14.49823598,1.839764918,0.420091446,1.997540457,1.297058266,52.02784413,1.366310334,22.21779936,52.02784413,13.479766,27.08096871,0.194393354,0.201690831,0.116955951,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/126.jpg,126,6.72,1.03,1
127.jpg,127,146.7417092,126.766183,86.77975526,149.0,128.0,88,19.94658801,117.5979751,146.7417092,20,104,149.0,0.502462592,0.509036863,2356.819787,0.006831219,0.02710202,14.63280204,1.722300305,0.447143738,2.011220242,1.435159221,54.00902139,1.73762534,24.57517204,54.00902139,15.24824389,29.86435729,0.212572593,0.219830553,0.12090588,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/127.jpg,127,6.72,1.03,1
150.jpg,150,132.4382374,110.6893335,76.7194874,131.0,109.0,75,18.23359774,121.9432797,132.4382374,18,110,131.0,0.442595097,0.435597647,2093.362828,0.007144491,0.030315309,14.52182269,1.774997062,0.482116342,2.30169801,1.290654952,47.97501516,3.535057934,22.11997784,47.97501516,16.13569623,25.81364802,0.165650182,0.167747951,0.09332684,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/150.jpg,150,6.72,25.64,1
151.jpg,151,134.1554129,111.1959303,75.47205835,132.0,109.0,73,18.14614557,128.2211217,134.1554129,18,114,132.0,0.445094624,0.435322745,2433.297986,0.006778893,0.028051365,14.66970901,1.702167628,0.497522814,2.326239258,1.27332806,48.27027148,3.84809049,23.25571704,48.27027148,17.11774858,26.9648479,0.168487709,0.170081249,0.091351225,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/151.jpg,151,6.72,25.64,1
152.jpg,152,130.6450694,111.4869061,80.79043766,129.0,109.0,78,18.4373007,111.4806282,130.6450694,19,99,129.0,0.444489413,0.436185882,2271.837904,0.006998843,0.028259273,14.58173575,1.787102763,0.44668196,2.264810398,1.129590074,48.08831721,2.79628233,19.88403348,48.08831721,14.08857142,23.64451262,0.165205026,0.168640794,0.10126108,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/152.jpg,152,6.72,25.64,1
177.jpg,177,149.8735651,131.2092235,95.10728237,152.0,133.0,97,19.7094029,101.6217116,149.8735651,20,93,152.0,0.519891946,0.525824314,1837.025525,0.007575879,0.030152889,14.35772791,1.839473543,0.441999773,2.039810537,1.43728208,55.67490604,1.59017034,22.1468777,55.67490604,14.05034664,27.57160295,0.227695655,0.235899722,0.14202879,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/177.jpg,177,6.72,7.26,1
178.jpg,178,146.1228675,126.0731425,87.2319037,147.0,127.0,88,19.71886958,114.8284439,146.1228675,20,103,147.0,0.500130415,0.503381176,2244.352959,0.007000375,0.027406755,14.57009774,1.807238663,0.464857523,2.043955947,1.397493678,53.76663047,1.918693937,23.99204339,53.76663047,15.22371389,29.17047861,0.210762899,0.217555104,0.121530335,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/178.jpg,178,6.72,7.26,1
179.jpg,179,143.2408921,125.0908801,89.3477559,144.0,126.0,90,19.84070073,107.6832549,143.2408921,20,96,144.0,0.495571288,0.500620392,2255.044002,0.007000732,0.027822815,14.56960881,1.834036516,0.427702947,2.024893215,1.312274112,53.25389645,1.504038316,22.06823749,53.25389645,13.70493656,27.10558379,0.205326594,0.212793654,0.125509796,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/179.jpg,179,6.72,7.26,1
