filename,Numeric numbers,mean_r,mean_g,mean_b,median_r,median_g,median_b,mean_h,mean_s,mean_v,median_h,median_s,median_v,mean_gray,median_gray,contrast,energy,homogeneity,entropy,RI,CI,HI,SI,lab_L,lab_a,lab_b,luv_L,luv_u,luv_v,xyz_X,xyz_Y,xyz_Z,image_path,image_no,soc,moisture,soil_type,Sample_No,Mahalanobis_Distance,Is_Outlier
215.jpg,215,152.5920161,133.2743543,100.9978276,159.0,137.0,103,19.27893814,98.3040896,152.6055684,19,86,159.0,0.529616548,0.54459098,3599.42691,0.006008868,0.02785228,14.99342555,1.668788623,0.40650631,2.177900641,1.082476097,56.6080672,2.334218667,20.11941618,56.6080672,14.20816971,25.29480607,0.238341912,0.245233988,0.157858484,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/215.jpg,215,2.05,13.26,2,10,8.209027231828978,True
246.jpg,246,183.7239517,153.4908123,107.2066526,196.0,164.0,115,18.06843909,116.8295599,183.7239517,18,106,196.0,0.614032418,0.655949412,2224.367112,0.007546276,0.034613589,14.49205477,1.552681001,0.471705927,2.342329247,1.546813793,65.09514976,4.824519703,28.49895457,65.09514976,22.635012,35.45634428,0.33838315,0.341673009,0.187755572,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/246.jpg,246,1.92,8.89,2,12,8.259214052716551,True
271.jpg,271,119.6610132,109.1000877,79.02425462,120.0,109.0,79,22.22189892,88.47937261,119.661073,22,87,120.0,0.428140458,0.428700784,446.9298727,0.017136375,0.065068937,12.22455396,2.962782651,0.384608278,1.70076865,0.602544006,46.30197541,-0.823974276,18.3350191,46.30197541,8.265321905,22.35821055,0.14590363,0.15492856,0.096214959,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/271.jpg,271,2.05,0.0,2,10,10.104973122493389,True
281.jpg,281,101.6096739,92.51959104,72.95906409,85.0,75.0,55,20.76137994,96.14006696,101.6098135,21,89,85.0,0.364866352,0.296766275,2518.654328,0.008587778,0.037128368,14.36202784,1.81031799,0.139690431,1.924064349,0.465493199,39.62666044,0.210419147,12.59949832,39.62666044,6.611517236,14.97590834,0.105088768,0.110274474,0.078693455,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/281.jpg,281,2.05,47.79,2,10,10.244163505527359,True
282.jpg,282,104.599988,94.48471381,75.8334662,87.0,76.0,57,19.65555246,92.67189493,104.599988,19,87,87.0,0.373684136,0.302116471,2859.969771,0.008620906,0.037267588,14.39290441,1.794798393,0.156277004,2.087592143,0.46468726,40.55820698,0.78490943,12.18312585,40.55820698,7.211845701,14.53853705,0.111234489,0.115907872,0.084565061,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/282.jpg,282,2.05,47.79,2,10,9.480061074596552,True
283.jpg,283,111.9011878,100.5722258,76.92299107,96.0,84.0,59,20.46418607,98.97437022,111.9012077,20,98,96.0,0.397154982,0.332060392,2157.035854,0.009170048,0.043714866,14.22815624,1.651807839,0.16246973,1.960839596,0.537486962,43.05994152,0.502473436,15.07020577,43.05994152,8.345403368,18.09284012,0.126186417,0.131979072,0.088876689,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/283.jpg,283,2.05,47.79,2,10,11.295347994541215,True
284.jpg,284,113.3334263,102.5834064,79.29549984,98.0,87.0,62,20.88089923,106.894611,113.3349809,20,91,98.0,0.404661677,0.342716078,4677.377562,0.006606873,0.024391813,14.89511506,1.64057109,0.177271235,1.92700465,0.587510204,43.82854943,0.287394675,14.72647359,43.82854943,7.947785219,17.86146591,0.130840154,0.13719916,0.094105053,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/284.jpg,284,2.05,47.79,2,10,9.77179440222205,True
285.jpg,285,103.7128707,95.14138233,79.58288823,86.0,77.0,61,19.59853316,85.77132494,103.7128707,20,73,86.0,0.375847279,0.304907059,4925.558536,0.00724332,0.026236599,14.75224478,1.859706377,0.136081343,2.113247322,0.412424865,40.75003836,0.61326014,10.1590127,40.75003836,6.028939833,12.3084948,0.112130887,0.117091268,0.091761204,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/285.jpg,285,2.05,47.79,2,10,9.104861035121866,True
286.jpg,286,101.8746853,96.00613593,80.11546177,88.0,82.0,66,22.1780011,74.71731435,101.8762587,22,62,88.0,0.376892098,0.322878039,3182.234448,0.007733295,0.031481524,14.52108167,1.967604625,0.104619921,1.746210643,0.380719228,40.84087732,-0.599491222,9.936043388,40.84087732,4.373053636,12.26271549,0.111008153,0.117654448,0.09295806,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/286.jpg,286,2.05,47.79,2,10,9.059113105426643,True
287.jpg,287,122.1324139,114.2675981,96.72197864,115.0,107.0,89,21.00657685,76.90656888,122.1328324,21,56,115.0,0.449701303,0.420649412,5583.316744,0.005681686,0.019141792,15.16237471,1.842622645,0.14259434,1.918379275,0.476729685,48.38649919,-0.09521261,10.83218685,48.38649919,5.745148555,13.91762121,0.162368516,0.171005654,0.136836013,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/287.jpg,287,2.29,52.65,2,11,8.84483251440306,True
288.jpg,288,109.8768933,103.2427655,90.33850845,102.0,95.0,83,20.03160874,66.66189015,109.8768933,20,49,102.0,0.406753415,0.37641098,5318.296084,0.006039188,0.019034617,15.00560919,1.792506104,0.117266279,2.049536169,0.380250711,43.94497821,0.213554121,8.224404061,43.94497821,4.671959156,10.3700136,0.131491977,0.138001705,0.117167989,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/288.jpg,288,2.29,52.65,2,11,9.57007274555063,True
289.jpg,289,102.7098613,97.69433594,84.07778619,97.0,92.0,79,22.17313058,63.20368304,102.7114756,22,49,97.0,0.383444635,0.361260392,3059.920624,0.006868357,0.025501259,14.63739034,1.852700012,0.100956912,1.747284371,0.349847648,41.51056337,-0.572998365,8.479865008,41.51056337,3.716870746,10.62076115,0.115024992,0.121862167,0.101473154,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/289.jpg,289,2.29,52.65,2,11,8.951830856285723,True
297.jpg,297,73.69461496,61.77224171,40.18331473,73.0,61.0,39,19.2267618,122.9035395,73.69461496,19,118,73.0,0.246075233,0.242429804,463.2078996,0.017841235,0.063358065,12.16986375,1.720907535,0.099782872,2.119401206,0.334430241,26.78871197,1.618679747,15.20731919,26.78871197,8.284276629,14.88351471,0.048970768,0.050189593,0.027340972,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/297.jpg,297,2.05,27.86,2,10,8.106061965679045,True
301.jpg,301,68.84839365,57.60371492,38.92059949,69.0,57.0,39,18.84337133,116.2709263,68.84839365,19,112,69.0,0.229984928,0.228990588,338.3778027,0.020764118,0.069720891,11.7089888,1.811694846,0.095414972,2.218998647,0.302658684,24.92759794,1.771649291,13.4696219,24.92759794,7.573697269,12.91718401,0.043016234,0.043921261,0.025331968,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/301.jpg,301,2.29,29.46,2,11,9.7237303296317,True
